HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
Görlitz,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://www.sachsen-tourismus.de/fileadmin/_processed_/5/d/csm_Altstadt_G%C3%B6rlitz_mit_Peterskirche_b3f33e8bd4.jpg,"Görlitz is the most easterly town in Germany and, for many, the most beautiful. This is perhaps not surprising when you consider that the town has over 3,500 architectural monuments spanning 500 years, most of which have been lovingly restored to wow visitors.",https://www.germany.travel/en/cities-culture/goerlitz.html
Dresden,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://img.fotocommunity.com/schoenes-dresden-47164052-7668-41e1-80fd-c6af2118b05f.jpg?height=400,There are many ways to define culture and beauty. But they can be easily summarised in just one word: Dresden. The sheer wealth and splendour of the cultural treasures just a stone's throw from the Elbe plains are enough to take your breath away.,https://www.germany.travel/en/cities-culture/dresden.html
Leipzig,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,https://a.cdn-hotels.com/gdcs/production149/d1041/2bcba6ff-7d32-46ad-a394-04ee3cad0ae0.jpg,"Leipzig's key role in setting the rhythm for the peaceful revolution of 1989 is testament to the city's musical endowment. The most likely reason for Leipzig being named City of Heroes is the many great musicians, kapellmeister and composers who are arguably more popular and more prominent here than anywhere else in the world.",https://www.germany.travel/en/cities-culture/leipzig.html
Elbsandsteingebirge / Sächsische Schweiz,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,https://img.fotocommunity.com/bollwerk-45145d10-311e-4e44-bbd7-2b6b1bc53fca.jpg?height=400,"Set in the fairytale-like landscape of Saxon Switzerland, the Painters' Way is one of Germany's most beautiful hiking trails. In the Elbe Sandstone Mountains, the impressive sandstone rock faces and the vistas reaching as far as the Elbe and the table-top mountains are an enchanting and picturesque hiking sensation. Romantic painters such as Caspar David Friedrich were some of the first to discover that the Elbe Sandstone Mountains make an excellent gigantic backdrop. In the world-famous ""Wanderer above the Sea of Fog"" oil painting, we see the back of a hiker with a walking stick, gazing across the bare rocks. Even Hollywood can find its motifs on the Painters' Way Trail. ""The Chronicles of Narnia"", ""Cloud Atlas"" and ""The Grand Budapest Hotel"" were all filmed in the Elbe Sandstone Mountains.",https://www.germany.travel/en/nature-outdoor-activities/painters-way.html
Ruhrgebiet,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,https://img.fotocommunity.com/zollverein969-cd2e0817-f8a9-41e2-b323-d6368b3d8327.jpg?height=400,"Formerly Germany's coal-mining region, the Ruhr Area forms one of the largest conurbations in Europe and is now known for being one of the continent's densest cultural landscapes. Places such as Bochum, Dortmund, Duisburg, Essen and Oberhausen have come together to form a fascinating urban area full of surprises.",https://www.germany.travel/en/cities-culture/ruhr-area.html
Köln,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,https://img.fotocommunity.com/nachtaufnahme-vom-koelner-dom-92d4d689-54cd-4aa9-95e7-bdc3722769f4.jpg?height=400,"Cologne is known for its joyous attitude and party spirit. The city is a matter of the heart, an emotion and an unfalteringly positive state of mind. At the root of this outlook are Cologne Carnival, kölsch beer and, of course, the cathedral.",https://www.germany.travel/en/cities-culture/cologne.html
Düsseldorf,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,https://img.fotocommunity.com/spiegelwolken-9b4e5b63-a27f-45f8-8689-ec57f5a2ecd7.jpg?height=400,"Everything is close by in Düsseldorf: fashion, culture, entertainment – even the tolerant and cosmopolitan way of life that is cultivated here can be felt wherever you go. Take a seat in one of the famous craft breweries or stop for a break on the Rhine steps. You’ll soon discover that people love to chat.",https://www.germany.travel/en/cities-culture/duesseldorf.html
Eifel,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,https://image.geo.de/30608286/t/k-/v3/w1440/r1.5/-/nuerburg-s-1995523283.jpg,"There's so much waiting to be discovered over at the Eifel National Park on the Belgian border in western Germany. Explore dense forests, trickling streams, open spaces and pristine nature. The national park is home to no end of plants and animals that are sure to amaze you. But don't forget to look up too, as the starry nights are on another level in this official International Dark Sky Park.",https://www.germany.travel/en/campaign/destination-nature/eifel.html
Moselsteig,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,https://img.fotocommunity.com/bernkastel-kues-burg-landshut-zur-blauen-stunde-95415136-82c4-4a2b-8e94-f496bde219e9.jpg?height=400,"The fantastic river landscape with its vineyards and impressive castles is extraordinary, as the Moselle is carved deep into the valley. Even the Romans loved the Moselle, especially as it is the perfect place to grow wine. The combination of slate soil and steep slopes results in world-class wines. The typical Moselle wine is Riesling. Hikers on the Moselsteig Trail can walk beside the vines or explore the hinterlands of vast forests and thrilling side valleys with little streams. The castles and the towns and villages in the valley ooze medieval charm. The former Roman city of Trier with the Porta Nigra city gate and the Imperial Baths is particularly fascinating. The Moselsteig Trail is very clearly signposted, allowing hikers to focus on the natural setting on a route boasting classical beauty.",https://www.germany.travel/en/nature-outdoor-activities/moselsteig.html
Harz,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,https://img.fotocommunity.com/herbstliche-la-viershoehe-49b3f7e8-09eb-4cf1-a1ef-ff27ae8f5846.jpg?height=400,"In line with the motto 'Leave nature be', the park management at the Harz National Park barely intervenes in nature at all, instead allowing it to run its natural course. It's fascinating to see how woodland that used to be used for commercial purposes has evolved into an untamed natural forest boasting beauty, brimming with life and oozing untouched purity. There's no better place to leave your worries behind as you relax and take it easy for a while.",https://www.germany.travel/en/campaign/destination-nature/harz.html
Freiburg,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,https://freiburg.stadtbesten.de/wp-content/uploads/sites/4/2015/07/unnamed-1-768x768.jpg,"Freiburg has more to offer than good spirit alone. It boasts one of Germany's prettiest Old Towns, with its characteristic bächle – the narrow channels of water that run alongside the pavements. Not to mention a wealth of culture and history, many cafés and cosy bars, delicious local cuisine and scenic surroundings, with an atmosphere that is more laid-back than most – but that's southern Germany for you.",https://www.germany.travel/en/cities-culture/freiburg.html
Schwarzwald,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,https://img.fotocommunity.com/herbststimmung-im-monbachtal-90ca2788-88c0-4479-8d59-a3efd2634182.jpg?height=400,"The untamed beauty of the vast Black Forest National Park attracts visitors in their swathes. The lush green forests in this nature reserve are just waiting to be explored, showing off the wild side of nature and offering views way into the distance.",https://www.germany.travel/en/nature-outdoor-activities/black-forest-national-park.html
Bodensee,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,https://img.fotocommunity.com/die-bronzezeit-am-bodensee-a2a809df-49f3-4dcb-befa-380afbcb6111.jpg?height=400,"Lake Constance (German: Bodensee) refers to three bodies of water on the Rhine at the northern foot of the Alps: Upper Lake Constance (Obersee), Lower Lake Constance (Untersee), and a connecting stretch of the Rhine, called the Lake Rhine (Seerhein). These waterbodies lie within the Lake Constance Basin (Bodenseebecken), which is part of the Alpine Foreland and through which the Rhine flows. The lake is situated where Germany, Switzerland, and Austria meet. Its shorelines lie in the German states of Baden-Württemberg and Bavaria, the Swiss cantons of St. Gallen, Thurgau, and Schaffhausen, and the Austrian state of Vorarlberg. The Rhine flows, as Alpine Rhine, into the lake from the south, with its original course forming the Austro-Swiss border, and has its outflow on the Lower Lake where — except for Schaffhausen — it forms, as High Rhine, the German-Swiss border as far as the city of Basel.",https://en.wikipedia.org/wiki/Lake_Constance
Walchensee,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,https://img.fotocommunity.com/sonnenuntergang-am-walchensee-14f2086f-5daa-4556-9e2a-e1f0fae5c2a0.jpg?height=400,"Walchensee is one of the deepest (maximum depth: 190 m) and at the same time one of the largest (16.40 km²) alpine lakes in Germany. It is located 75 km south of Munich in the Bavarian Pre-Alps, at an altitude of 800 m above sea level and with its entire area including the island of Sassau in the municipality of Kochel am See. To the east and south its shore borders on the municipality of Jachenau. The landowner of the lake and island area is the Bavarian State (administered by the Bavarian State Forests, unlike most of the other larger lakes in Bavaria, which are under the administration of the State Castles, Gardens and Lakes).",https://de.wikipedia.org/wiki/Walchensee
München,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,https://img.fotocommunity.com/muenchen-stadtbummel-84832eb2-5b79-4f3b-b72c-6f1e77503bc8.jpg?height=400,"Lifestyle is a priority in Munich. It might be down to the clear blue skies or simply the city's beauty, but one thing's for certain: The people of Munich always like to show their best side, whether they're in a beer garden, on one of the exclusive shopping streets, or in Bayern Munich's stadium.",https://www.germany.travel/en/cities-culture/munich.html
Berchtesgardener Land,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,https://img.fotocommunity.com/berge-im-see-7c6588ca-6995-4d1e-b50d-bfc62a4c2596.jpg?height=400,"The Berchtesgadener Land is a region in the extreme southeast of Bavaria, framed by the Berchtesgaden Alps and enclosed like a peninsula by the Austrian province of Salzburg. Its territorial area corresponded to the ""closed forest district"" or the heartland of the Berchtesgaden monastery as early as 1155, which was elevated to the status of an imperial prelature in 1380 and to the status of a prince-provostry of Berchtesgaden with imperial immediacy in 1559. Even after the secularization of 1803 and the associated dissolution of the prince-provostry, the Berchtesgadener Land has retained a cultural-historical and socio-cultural independence to this day. This includes customs such as the Christmas shooting, the Buttnmandllaufen or the Berchtesgadener Tracht as well as the unique selling point of still calling the smaller districts Gnotschaften. Today, Berchtesgadener Land, with the five municipalities of Berchtesgaden, Bischofswiesen, Marktschellenberg, Ramsau and Schönau am Königssee, as well as the municipality-free areas of Eck and Schellenberger Forst, forms the southern part of the Berchtesgadener Land district, which is named after it. Its much-visited sights such as the Kehlsteinhaus, Königssee, the salt mine and Ramsau Church are among the most important vacation destinations in Bavaria. The area of Berchtesgadener Land is also covered by the Berchtesgaden Biosphere Reserve (also: ""Alpenpark Berchtesgaden""), which was awarded the title of ""UNESCO Biosphere Reserve"" in 1990 and is made up of the Berchtesgaden National Park and the national park foothills and was expanded in 2010, now including the entire district, to become the Berchtesgadener Land Biosphere Reserve.",https://de.wikipedia.org/wiki/Berchtesgadener_Land
Naumburg (Saale),1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,https://img.fotocommunity.com/naumburger-dom-202a7f4c-3e8f-4672-8c5a-ffc13f829bd7.jpg?height=400,"Naumburg (Saale) is a city in the south of Saxony-Anhalt. Naumburg is the administrative seat of the Burgenland district and the center of Germany's northernmost wine-growing region, Saale-Unstrut. The city is a railroad hub and has a rich history, for example, as the historic seat of the Naumburg diocese. The landmark is Naumburg Cathedral in the medieval old town, which has been a UNESCO World Heritage Site since July 1, 2018. Naumburg is a state-recognized resort town",https://de.wikipedia.org/wiki/Naumburg_%28Saale%29
Lutherstadt Wittenberg,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,https://img.fotocommunity.com/hundertwasserschule-wittenberg-6141ed4d-e806-42e2-b11d-2c235c4b950a.jpg?height=1080,"This sleepy little town in rural eastern Germany doesn't look like the center of a revolution. But the events that played out here in the 16th Century shook the foundations of Christendom. It was here in Wittenberg, Germany, that Martin Luther lived and preached, and on October 31, 1517, he nailed his 95 Theses to the door of the Castle Church. The Protestant Reformation had begun.",https://en.wikipedia.org/wiki/Wittenberg
Weimar,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://img.fotocommunity.com/schloss-belvedere-weimar-hdr-cbf52372-3e44-4f74-be05-a11ef54580cd.jpg?height=1080,"Goethe, Schiller, Gropius: Weimar is the star of Germany's and Europe's intellectual past and is intrinsically linked with big names. Both Weimar Classicism and the Bauhaus movement remain beacons of the extraordinarily rich cultural life that you will encounter throughout the city.",https://www.weimar.de/tourismus/weimar-erleben/welt-entdecken/
