HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
Görlitz,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://www.sachsen-tourismus.de/fileadmin/_processed_/5/d/csm_Altstadt_G%C3%B6rlitz_mit_Peterskirche_b3f33e8bd4.jpg,"Görlitz is the most easterly town in Germany and, for many, the most beautiful. This is perhaps not surprising when you consider that the town has over 3,500 architectural monuments spanning 500 years, most of which have been lovingly restored to wow visitors.",https://www.germany.travel/en/cities-culture/goerlitz.html
Dresden,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://img.fotocommunity.com/schoenes-dresden-47164052-7668-41e1-80fd-c6af2118b05f.jpg?height=400,There are many ways to define culture and beauty. But they can be easily summarised in just one word: Dresden. The sheer wealth and splendour of the cultural treasures just a stone's throw from the Elbe plains are enough to take your breath away.,https://www.germany.travel/en/cities-culture/dresden.html
Leipzig,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,https://a.cdn-hotels.com/gdcs/production149/d1041/2bcba6ff-7d32-46ad-a394-04ee3cad0ae0.jpg,"Leipzig's key role in setting the rhythm for the peaceful revolution of 1989 is testament to the city's musical endowment. The most likely reason for Leipzig being named City of Heroes is the many great musicians, kapellmeister and composers who are arguably more popular and more prominent here than anywhere else in the world.",https://www.germany.travel/en/cities-culture/leipzig.html
Elbsandsteingebirge / Sächsische Schweiz,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,,,
Ruhrgebiet,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,,,
Köln,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,,,
Düsseldorf,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,,,
Eifel,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,,,
Moselsteig,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,,,
Harz,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,,,
Freiburg,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,https://freiburg.stadtbesten.de/wp-content/uploads/sites/4/2015/07/unnamed-1-768x768.jpg,"Freiburg has more to offer than good spirit alone. It boasts one of Germany's prettiest Old Towns, with its characteristic bächle – the narrow channels of water that run alongside the pavements. Not to mention a wealth of culture and history, many cafés and cosy bars, delicious local cuisine and scenic surroundings, with an atmosphere that is more laid-back than most – but that's southern Germany for you.",https://www.germany.travel/en/cities-culture/freiburg.html
Schwarzwald,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,https://img.fotocommunity.com/herbststimmung-im-monbachtal-90ca2788-88c0-4479-8d59-a3efd2634182.jpg?height=400,"The untamed beauty of the vast Black Forest National Park attracts visitors in their swathes. The lush green forests in this nature reserve are just waiting to be explored, showing off the wild side of nature and offering views way into the distance.",https://www.germany.travel/en/nature-outdoor-activities/black-forest-national-park.html
Bodensee,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,https://img.fotocommunity.com/die-bronzezeit-am-bodensee-a2a809df-49f3-4dcb-befa-380afbcb6111.jpg?height=400,"Lake Constance (German: Bodensee) refers to three bodies of water on the Rhine at the northern foot of the Alps: Upper Lake Constance (Obersee), Lower Lake Constance (Untersee), and a connecting stretch of the Rhine, called the Lake Rhine (Seerhein). These waterbodies lie within the Lake Constance Basin (Bodenseebecken), which is part of the Alpine Foreland and through which the Rhine flows. The lake is situated where Germany, Switzerland, and Austria meet. Its shorelines lie in the German states of Baden-Württemberg and Bavaria, the Swiss cantons of St. Gallen, Thurgau, and Schaffhausen, and the Austrian state of Vorarlberg. The Rhine flows, as Alpine Rhine, into the lake from the south, with its original course forming the Austro-Swiss border, and has its outflow on the Lower Lake where — except for Schaffhausen — it forms, as High Rhine, the German-Swiss border as far as the city of Basel.",https://en.wikipedia.org/wiki/Lake_Constance
Walchensee,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,https://img.fotocommunity.com/sonnenuntergang-am-walchensee-14f2086f-5daa-4556-9e2a-e1f0fae5c2a0.jpg?height=400,"Walchensee is one of the deepest (maximum depth: 190 m) and at the same time one of the largest (16.40 km²) alpine lakes in Germany. It is located 75 km south of Munich in the Bavarian Pre-Alps, at an altitude of 800 m above sea level and with its entire area including the island of Sassau in the municipality of Kochel am See. To the east and south its shore borders on the municipality of Jachenau. The landowner of the lake and island area is the Bavarian State (administered by the Bavarian State Forests, unlike most of the other larger lakes in Bavaria, which are under the administration of the State Castles, Gardens and Lakes).",https://de.wikipedia.org/wiki/Walchensee
München,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,https://img.fotocommunity.com/muenchen-stadtbummel-84832eb2-5b79-4f3b-b72c-6f1e77503bc8.jpg?height=400,"Lifestyle is a priority in Munich. It might be down to the clear blue skies or simply the city's beauty, but one thing's for certain: The people of Munich always like to show their best side, whether they're in a beer garden, on one of the exclusive shopping streets, or in Bayern Munich's stadium.",https://www.germany.travel/en/cities-culture/munich.html
Berchtesgardener Land,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,https://img.fotocommunity.com/berge-im-see-7c6588ca-6995-4d1e-b50d-bfc62a4c2596.jpg?height=400,"The Berchtesgadener Land is a region in the extreme southeast of Bavaria, framed by the Berchtesgaden Alps and enclosed like a peninsula by the Austrian province of Salzburg. Its territorial area corresponded to the ""closed forest district"" or the heartland of the Berchtesgaden monastery as early as 1155, which was elevated to the status of an imperial prelature in 1380 and to the status of a prince-provostry of Berchtesgaden with imperial immediacy in 1559. Even after the secularization of 1803 and the associated dissolution of the prince-provostry, the Berchtesgadener Land has retained a cultural-historical and socio-cultural independence to this day. This includes customs such as the Christmas shooting, the Buttnmandllaufen or the Berchtesgadener Tracht as well as the unique selling point of still calling the smaller districts Gnotschaften. Today, Berchtesgadener Land, with the five municipalities of Berchtesgaden, Bischofswiesen, Marktschellenberg, Ramsau and Schönau am Königssee, as well as the municipality-free areas of Eck and Schellenberger Forst, forms the southern part of the Berchtesgadener Land district, which is named after it. Its much-visited sights such as the Kehlsteinhaus, Königssee, the salt mine and Ramsau Church are among the most important vacation destinations in Bavaria. The area of Berchtesgadener Land is also covered by the Berchtesgaden Biosphere Reserve (also: ""Alpenpark Berchtesgaden""), which was awarded the title of ""UNESCO Biosphere Reserve"" in 1990 and is made up of the Berchtesgaden National Park and the national park foothills and was expanded in 2010, now including the entire district, to become the Berchtesgadener Land Biosphere Reserve.",https://de.wikipedia.org/wiki/Berchtesgadener_Land
Naumburg (Saale),1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,https://img.fotocommunity.com/naumburger-dom-202a7f4c-3e8f-4672-8c5a-ffc13f829bd7.jpg?height=400,"Naumburg (Saale) is a city in the south of Saxony-Anhalt. Naumburg is the administrative seat of the Burgenland district and the center of Germany's northernmost wine-growing region, Saale-Unstrut. The city is a railroad hub and has a rich history, for example, as the historic seat of the Naumburg diocese. The landmark is Naumburg Cathedral in the medieval old town, which has been a UNESCO World Heritage Site since July 1, 2018. Naumburg is a state-recognized resort town",https://de.wikipedia.org/wiki/Naumburg_%28Saale%29
Lutherstadt Wittenberg,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,https://img.fotocommunity.com/hundertwasserschule-wittenberg-6141ed4d-e806-42e2-b11d-2c235c4b950a.jpg?height=1080,"Wittenberg (Low Saxon: Wittenbarg; meaning White Mountain officially Lutherstadt Wittenberg (Luther City Wittenberg)), is the fourth largest town in Saxony-Anhalt, Germany. Wittenberg is situated on the River Elbe, 60 kilometers (37 mi) north of Leipzig and 90 kilometers (56 mi) south-west of Berlin, and has a population of 46,008 (2018). Wittenberg is famous for its close connection with Martin Luther and the Protestant Reformation, for which it received the honorific Lutherstadt. Several of Wittenberg's buildings are associated with the events, including a preserved part of the Augustinian monastery in which Luther lived, first as a monk and later as owner with his wife Katharina von Bora and family, considered to be the world's premier museum dedicated to Luther. Wittenberg was also the seat of the Elector of Saxony, a dignity held by the dukes of Saxe-Wittenberg, making it one of the most powerful cities in the Holy Roman Empire. Today, Wittenberg is an industrial center and popular tourist destination, best known for its intact historic center and various memorial sites dedicated to Martin Luther and Philip Melanchthon. The Luther Memorial was added to the UNESCO world heritage list in 1996.",https://en.wikipedia.org/wiki/Wittenberg
Weimar,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,https://img.fotocommunity.com/schloss-belvedere-weimar-hdr-cbf52372-3e44-4f74-be05-a11ef54580cd.jpg?height=1080,Translated with www.DeepL.com/Translator (free version),https://www.weimar.de/tourismus/weimar-erleben/welt-entdecken/
